id,instruction,response,test_list
50,প্রদত্ত বছরের জন্য চীনা রাশিচক্রের চিহ্ন প্রদর্শন করার জন্য একটি ফাংশন লিখুন।,"def chinese_zodiac(year):
 if (year - 2000) % 12 == 0:
     sign = 'Dragon'
 elif (year - 2000) % 12 == 1:
     sign = 'Snake'
 elif (year - 2000) % 12 == 2:
     sign = 'Horse'
 elif (year - 2000) % 12 == 3:
     sign = 'sheep'
 elif (year - 2000) % 12 == 4:
     sign = 'Monkey'
 elif (year - 2000) % 12 == 5:
     sign = 'Rooster'
 elif (year - 2000) % 12 == 6:
     sign = 'Dog'
 elif (year - 2000) % 12 == 7:
     sign = 'Pig'
 elif (year - 2000) % 12 == 8:
     sign = 'Rat'
 elif (year - 2000) % 12 == 9:
     sign = 'Ox'
 elif (year - 2000) % 12 == 10:
     sign = 'Tiger'
 else:
     sign = 'Hare'
 return sign","""[\""assert chinese_zodiac(1997)==('Ox')\"", \""assert chinese_zodiac(1998)==('Tiger')\"", \""assert chinese_zodiac(1994)==('Dog')\""]"""
51,একটি ফাংশন লিখুন যাতে দুটি তালিকার মধ্যে একই রকম সূচকের সর্বোচ্চ সংখ্যা পাওয়া যায়।,"def max_similar_indices(test_list1, test_list2):
  res = [(max(x[0], y[0]), max(x[1], y[1]))
   for x, y in zip(test_list1, test_list2)]
  return (res) ","""['assert max_similar_indices([(2, 4), (6, 7), (5, 1)],[(5, 4), (8, 10), (8, 14)]) == [(5, 4), (8, 10), (8, 14)]', 'assert max_similar_indices([(3, 5), (7, 8), (6, 2)],[(6, 5), (9, 11), (9, 15)]) == [(6, 5), (9, 11), (9, 15)]', 'assert max_similar_indices([(4, 6), (8, 9), (7, 3)],[(7, 6), (10, 12), (10, 16)]) == [(7, 6), (10, 12), (10, 16)]']"""
52,ncr mod p এর মান গণনা করার জন্য একটি ফাংশন লিখুন।,"def nCr_mod_p(n, r, p): 
	if (r > n- r): 
		r = n - r 
	C = [0 for i in range(r + 1)] 
	C[0] = 1 
	for i in range(1, n + 1): 
		for j in range(min(i, r), 0, -1): 
			C[j] = (C[j] + C[j-1]) % p 
	return C[r] ","""['assert nCr_mod_p(10, 2, 13) == 6', 'assert nCr_mod_p(11, 3, 14) == 11', 'assert nCr_mod_p(18, 14, 19) == 1']"""
53,একটি পাইথন ফাংশন লিখুন যাতে স্বতন্ত্র উপাদানগুলির সাথে উপসেটগুলির সর্বনিম্ন সংখ্যা খুঁজে পাওয়া যায়।,"def subset(ar, n): 
    res = 0
    ar.sort() 
    for i in range(0, n) : 
        count = 1
        for i in range(n - 1): 
            if ar[i] == ar[i + 1]: 
                count+=1
            else: 
                break 
        res = max(res, count)  
    return res ","""['assert subset([1, 2, 3, 4],4) == 1', 'assert subset([5, 6, 9, 3, 4, 3, 4],7) == 2', 'assert subset([1, 2, 3 ],3) == 1']"""
54,একটি ফাংশন লিখুন যা লাভের পরিমাণ দেয় যদি প্রদত্ত পরিমাণে লাভ থাকে অন্যথায় কোনটিই ফেরত দেয় না।,"def profit_amount(actual_cost,sale_amount): 
 if(actual_cost > sale_amount):
    amount = actual_cost - sale_amount
    return amount
 else:
    return None","""['assert profit_amount(1500,1200)==300', 'assert profit_amount(100,200)==None', 'assert profit_amount(2000,5000)==None']"""
55,"একটি ফাংশন লিখুন, যেটা দিয়ে আমরা জানতে পারি যে, প্রদত্ত সংখ্যাটি প্রচুর পরিমাণে আছে কিনা।","def is_abundant(n):
    fctrsum = sum([fctr for fctr in range(1, n) if n % fctr == 0])
    return fctrsum > n","""['assert is_abundant(12)==True', 'assert is_abundant(13)==False', 'assert is_abundant(9)==False']"""
56,রেজেক্স ব্যবহার করে বড় অক্ষরে প্রদত্ত স্ট্রিংকে বিভক্ত করার জন্য একটি ফাংশন লিখুন।,"import re
def split_list(text):
  return (re.findall('[A-Z][^A-Z]*', text))","""['assert split_list(\""LearnToBuildAnythingWithGoogle\"") == [\\'Learn\\', \\'To\\', \\'Build\\', \\'Anything\\', \\'With\\', \\'Google\\']', 'assert split_list(\""ApmlifyingTheBlack+DeveloperCommunity\"") == [\\'Apmlifying\\', \\'The\\', \\'Black+\\', \\'Developer\\', \\'Community\\']', 'assert split_list(\""UpdateInTheGoEcoSystem\"") == [\\'Update\\', \\'In\\', \\'The\\', \\'Go\\', \\'Eco\\', \\'System\\']']"""
57,ডানদিকের সেট বিটের অবস্থান পেতে একটি পাইথন ফাংশন লিখুন।,"import math
def get_First_Set_Bit_Pos(n):
     return math.log2(n&-n)+1","""['assert get_First_Set_Bit_Pos(12) == 3', 'assert get_First_Set_Bit_Pos(18) == 2', 'assert get_First_Set_Bit_Pos(16) == 5']"""
58,একটি পূর্ণসংখ্যাকে রোমান সংখ্যায় রূপান্তর করার জন্য একটি ফাংশন লিখুন।,"def int_to_roman( num):
        val = [1000, 900, 500, 400,100, 90, 50, 40,10, 9, 5, 4,1]
        syb = [""M"", ""CM"", ""D"", ""CD"",""C"", ""XC"", ""L"", ""XL"",""X"", ""IX"", ""V"", ""IV"",""I""]
        roman_num = ''
        i = 0
        while  num > 0:
            for _ in range(num // val[i]):
                roman_num += syb[i]
                num -= val[i]
            i += 1
        return roman_num","""['assert int_to_roman(1)==(\""I\"")', 'assert int_to_roman(50)==(\""L\"")', 'assert int_to_roman(4)==(\""IV\"")']"""
59,একটি তালিকা গড় খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।,"def Average(lst): 
    return sum(lst) / len(lst) ","""['assert Average([15, 9, 55, 41, 35, 20, 62, 49]) == 35.75', 'assert Average([4, 5, 1, 2, 9, 7, 10, 8]) == 5.75', 'assert Average([1,2,3]) == 2']"""
60,টাইলিং সমস্যা সমাধানের জন্য একটি ফাংশন লিখুন।,"def get_noOfways(n):
    if (n == 0):
        return 0;
    if (n == 1):
        return 1; 
    return get_noOfways(n - 1) + get_noOfways(n - 2);","""['assert get_noOfways(4)==3', 'assert get_noOfways(3)==2', 'assert get_noOfways(5)==5']"""
61,একটি রোমান সংখ্যাকে একটি পূর্ণসংখ্যায় রূপান্তর করার জন্য একটি ফাংশন লিখুন।,"def roman_to_int(s):
        rom_val = {'I': 1, 'V': 5, 'X': 10, 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
        int_val = 0
        for i in range(len(s)):
            if i > 0 and rom_val[s[i]] > rom_val[s[i - 1]]:
                int_val += rom_val[s[i]] - 2 * rom_val[s[i - 1]]
            else:
                int_val += rom_val[s[i]]
        return int_val","""[\""assert roman_to_int('MMMCMLXXXVI')==3986\"", \""assert roman_to_int('MMMM')==4000\"", \""assert roman_to_int('C')==100\""]"""
62,l এবং r এর মধ্যে সমস্ত সম প্রাকৃতিক সংখ্যার যোগফল খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।,"def sum_Natural(n): 
    sum = (n * (n + 1)) 
    return int(sum) 
def sum_Even(l,r): 
    return (sum_Natural(int(r / 2)) - sum_Natural(int((l - 1) / 2))) ","""['assert sum_Even(2,5) == 6', 'assert sum_Even(3,8) == 18', 'assert sum_Even(4,6) == 10']"""
63,ডিসক্রিমিন্যান্ট মান গণনা করার জন্য একটি ফাংশন লিখুন।,"def discriminant_value(x,y,z):
    discriminant = (y**2) - (4*x*z)
    if discriminant > 0:
        return (""Two solutions"",discriminant)
    elif discriminant == 0:
        return (""one solution"",discriminant)
    elif discriminant < 0:
        return (""no real solution"",discriminant)","""['assert discriminant_value(4,8,2)==(\""Two solutions\"",32)', 'assert discriminant_value(5,7,9)==(\""no real solution\"",-131)', 'assert discriminant_value(0,0,9)==(\""one solution\"",0)']"""
64,একটি পাইথন ফাংশন লিখুন যাতে শব্দটির দৈর্ঘ্য সমান হয় কিনা তা পরীক্ষা করা যায়।,"def word_len(s): 
    s = s.split(' ')   
    for word in s:    
        if len(word)%2==0: 
            return True  
        else:
          return False","""['assert word_len(\""program\"") == False', 'assert word_len(\""solution\"") == True', 'assert word_len(\""data\"") == True']"""
65,একটি ফাংশন লিখুন যা উট কেস স্ট্রিংকে সাপ কেস স্ট্রিংয়ে রূপান্তর করে।,"def camel_to_snake(text):
        import re
        str1 = re.sub('(.)([A-Z][a-z]+)', r'\1_\2', text)
        return re.sub('([a-z0-9])([A-Z])', r'\1_\2', str1).lower()","""[\""assert camel_to_snake('PythonProgram')==('python_program')\"", \""assert camel_to_snake('pythonLanguage')==('python_language')\"", \""assert camel_to_snake('ProgrammingLanguage')==('programming_language')\""]"""
66,একটি ফাংশন লিখুন যা একটি তালিকার একটি খালি টিপলকে সরিয়ে দেয়।,"def remove_empty(tuple1): #L = [(), (), ('',), ('a', 'b'), ('a', 'b', 'c'), ('d')]
   tuple1 = [t for t in tuple1 if t]
   return tuple1","""[\""assert remove_empty([(), (), ('',), ('a', 'b'), ('a', 'b', 'c'), ('d')])==[('',), ('a', 'b'), ('a', 'b', 'c'), 'd']  \"", 'assert remove_empty([(), (), (\\'\\',), (\""python\""), (\""program\"")])==[(\\'\\',), (\""python\""), (\""program\"")]  ', 'assert remove_empty([(), (), (\\'\\',), (\""java\"")])==[(\\'\\',),(\""java\"") ]  ']"""
67,একটি পাইথন ফাংশন লিখুন যাতে স্ট্রিংগুলিকে গ্রহণ করা যায় যাতে সমস্ত স্বরবর্ণ থাকে।,"def check(string): 
  if len(set(string).intersection(""AEIOUaeiou""))>=5: 
    return ('accepted') 
  else: 
    return (""not accepted"") ","""['assert check(\""SEEquoiaL\"") == \\'accepted\\'', 'assert check(\\'program\\') == \""not accepted\""', 'assert check(\\'fine\\') == \""not accepted\""']"""
68,প্রদত্ত পর্যায়ক্রমিক ফাংশনের সর্বোচ্চ সম্ভাব্য মান খুঁজে পেতে একটি পাইথন ফাংশন লিখুন।,"def floor_Max(A,B,N):
    x = min(B - 1,N)
    return (A*x) // B","""['assert floor_Max(11,10,9) == 9', 'assert floor_Max(5,7,4) == 2', 'assert floor_Max(2,2,1) == 1']"""
69,যদি টুপলগুলির একই রকম প্রাথমিক উপাদান থাকে তবে তাদের যোগ করার জন্য একটি ফাংশন লিখুন।,"def join_tuples(test_list):
  res = []
  for sub in test_list:
    if res and res[-1][0] == sub[0]:
      res[-1].extend(sub[1:])
    else:
      res.append([ele for ele in sub])
  res = list(map(tuple, res))
  return (res) ","""['assert join_tuples([(5, 6), (5, 7), (6, 8), (6, 10), (7, 13)] ) == [(5, 6, 7), (6, 8, 10), (7, 13)]', 'assert join_tuples([(6, 7), (6, 8), (7, 9), (7, 11), (8, 14)] ) == [(6, 7, 8), (7, 9, 11), (8, 14)]', 'assert join_tuples([(7, 8), (7, 9), (8, 10), (8, 12), (9, 15)] ) == [(7, 8, 9), (8, 10, 12), (9, 15)]']"""
70,একটি ফাংশন লিখুন যাতে দুইটি সংখ্যার সর্বনিম্ন সংখ্যা পাওয়া যায়।,"def min_of_two( x, y ):
    if x < y:
        return x
    return y","""['assert min_of_two(10,20)==10', 'assert min_of_two(19,15)==15', 'assert min_of_two(-10,-20)==-20']"""
71,"একটি ফাংশন লিখুন যা a, b এবং c দৈর্ঘ্যের সেগমেন্টের সর্বোচ্চ সংখ্যা খুঁজে বের করে যা n থেকে গঠিত হতে পারে।","def maximum_segments(n, a, b, c) : 
	dp = [-1] * (n + 10) 
	dp[0] = 0
	for i in range(0, n) : 
		if (dp[i] != -1) : 
			if(i + a <= n ): 
				dp[i + a] = max(dp[i] + 1, 
							dp[i + a]) 
			if(i + b <= n ): 
				dp[i + b] = max(dp[i] + 1, 
							dp[i + b]) 
			if(i + c <= n ): 
				dp[i + c] = max(dp[i] + 1, 
							dp[i + c]) 
	return dp[n]","""['assert maximum_segments(7, 5, 2, 5) == 2', 'assert maximum_segments(17, 2, 1, 3) == 17', 'assert maximum_segments(18, 16, 3, 6) == 6']"""
72,একটি ফাংশন লিখুন যা দেওয়া দুটি টিপলকে একটি নেস্টেড টিপলে সংযুক্ত করে।,"def concatenate_nested(test_tup1, test_tup2):
  res = test_tup1 + test_tup2
  return (res) ","""['assert concatenate_nested((3, 4), (5, 6)) == (3, 4, 5, 6)', 'assert concatenate_nested((1, 2), (3, 4)) == (1, 2, 3, 4)', 'assert concatenate_nested((4, 5), (6, 8)) == (4, 5, 6, 8)']"""
73,একটি পাইথন ফাংশন লিখুন যা স্ট্রিংকে বাম দিকে ঘোরায়।,"def left_rotate(s,d):
    tmp = s[d : ] + s[0 : d]
    return tmp  ","""['assert left_rotate(\""python\"",2) == \""thonpy\""   ', 'assert left_rotate(\""bigdata\"",3 ) == \""databig\"" ', 'assert left_rotate(\""hadoop\"",1 ) == \""adooph\"" ']"""
74,প্রদত্ত ত্রিভুজটির সর্বনিম্ন মোট পথের যোগফল খুঁজে বের করার জন্য একটি ফাংশন লিখুন।,"def min_sum_path(A): 
	memo = [None] * len(A) 
	n = len(A) - 1
	for i in range(len(A[n])): 
		memo[i] = A[n][i] 
	for i in range(len(A) - 2, -1,-1): 
		for j in range( len(A[i])): 
			memo[j] = A[i][j] + min(memo[j], 
									memo[j + 1]) 
	return memo[0]","""['assert min_sum_path([[ 2 ], [3, 9 ], [1, 6, 7 ]]) == 6', 'assert min_sum_path([[ 2 ], [3, 7 ], [8, 5, 6 ]]) == 10 ', 'assert min_sum_path([[ 3 ], [6, 4 ], [5, 2, 7 ]]) == 9']"""
